text,class,ID
Ulan Wifi'ye bağlıyım ben. Ona bağlıyken Turkcell internet paketin bitti diye nasıl mesaj atabilir bana ya? Onu da mı ödeyelim,olumsuz,8b840bce-1ce4-4a27-a30f-3128033a1c6f
20 dk 1 GB internet 500 mb sadece kaşar turkcell de düşer. Oç çocukları.,olumsuz,46a6032e-d62d-416f-b065-73ccf57f6bcb
Ayrıca turkcell superonline reklamı kadar da kötü bir reklam görmemiştim,olumsuz,39312230-18d1-4664-9500-9a4b3ddb817f
Turkcell çok pahalı ya,olumsuz,4126ed0e-6069-43d8-afef-e3527484d562
Turkcell Kaş'ta internetin cekmiyor,olumsuz,df934aca-dc6d-4e8a-b31c-5f74223f87d0
Turkcell'in Allah belası versin demek isterdim ama demicem. Demedim farzedin. Nasıl bir internettir bu ya yüreğim şişti!,olumsuz,399bbdfc-5c2c-4e12-adb2-b19469c431e2
Canın cehenneme turkcell,olumsuz,c7133c5a-b714-46e6-8798-4adfc9b4642f
"Turkcell yönetimini eline geçiren AKP hükümeti, abonelere seçim propagandası mesajları gönderiyor",olumsuz,fc4de8c2-90b0-4eff-9b03-9457fdb69920
Turkcell şerefsizdir aksini iddia eden turkcelldir,olumsuz,85d80738-1f04-415a-874e-b9b94a5d2fa4
Turkcell'den elimi ayağımı çektiğim iyi oldu,olumsuz,88b18fa8-5eec-4a7a-9cff-5f8262e0c723
Senin turkcell gibi allah belanı versin,olumsuz,6d4086ff-df84-4f88-8fbf-2d82a5c5c93a
Bayramdan sonra vodafone geçiyorum turkcell kazıkçı amk,olumsuz,1189f8e4-1cfa-4ffb-856e-8fec59587056
Of evin her köşesinden Turkcell geçiyor bizi kazıklamalarıyla kalmayıp birde internetleri düşük hızlı,olumsuz,3cd28eee-b995-48b1-9835-de8af68b4189
Hay senin turkcell gibi çekim gücünü ... Nalet olsun,olumsuz,f0f6dc7f-24c7-4c08-a5b7-ef6f8b4a7e21
Şehir dışındayım burada da turkcell internet çekmiyor. Bide turkcell fuul çekiyor diyorlar,olumsuz,9ec891f1-0a3c-48dd-8232-9a723d0ede18
Turkcell senin ben amk 10 dakikalık videoyu izlemek icin yarım saat dolmasını bekliyorum,olumsuz,0dd22181-e323-44f6-a9d1-192c2132db09
Turkcell 'e bağlanmak amerikaya gitmekten daha zor,olumsuz,1ea0a7ec-0689-4d1e-a2e8-b94d895dec73
Su turkcell durduk yere kac lirami yedi ya kafasina gore paralar cekiyo,olumsuz,343cc416-765f-402d-bd84-ef9ee6d30835
Turkcell im lan her saatte araman ayıp değil mi? Nalet .,olumsuz,70186a7f-a859-447f-b73a-4bc44d7e6587
"turkcell gittikçe, iyice saçmalamaya başladım diyor",olumsuz,bdc3e4c4-fb7c-4880-95ab-b7c8ec01a3bc
Kendimi kurtardığıma en çok sevindiğim kurumlar 3 turkcell 2 digiturk 1 garanti,olumsuz,bd365ae1-ddf0-4744-b1bb-a0554ce7715b
Turkcell'in interneti kadar rezil bir şey olamaz,olumsuz,bfea3f03-b48d-497c-8360-8d14fd52e1f5
turkcell mal ya köyde çekmeyeceksen hiçbi yerde çekme,olumsuz,6cc6e785-bb61-414d-b8eb-e1f3d9fc13b5
Reklamlarında sürekli çocukları ve yerel değerleri kullanan Turkcell'e ayar oluyorum.,olumsuz,deb3f4ad-0df4-4ec7-956e-67ab3be84e7c
Yaylada telefon çekmiyor sözde toroslarda turkcell 4 çekiyor,olumsuz,c696a468-1c37-49cd-9159-618e5b513523
Sahrayıceditin göbeğinde tek çentik çeken turkcell dört 4.5 g ye geçmiş sen önce çekim gücünü yükselt sonra geçmesi kolay,olumsuz,e055d536-4bc7-4fd3-ae25-ed1659fcbeb5
Turkcell kullanan geri zekalıdır. İnterneti biraz daha hızlı diye niye 23 lira vermek varken 35 lira vereyim ams salak mıyım ben,olumsuz,d2bc52f2-1672-47d4-9e43-4a6b8bb5ad9b
Türk operatörleri tıpkı AB'deki operatör türevleri gibi halka hediye olarak ürün sunmalı. Yıllardır halkı sömüren Turkcell ne yaptı?,olumsuz,56ccfc27-157b-4f68-98a9-463919cb9c14
Turkcell'in müşteri hizmetleri kalitesi felaket .. Şimdi Face hesabımdan aynı yazıyı tüm arkadaşlarımla paylaşacağım,olumsuz,a999591c-e548-4881-9d35-b1a95091dcad
Ne malsın turkcell yaa ağzıma ettin ressmen,olumsuz,db176b5c-8ecc-4c3c-9534-5e2101bac674
Turkcell 10G de yapsa bu internet düzelmez. Bir fotoğrafın açılması yarım saat sürüyor,olumsuz,e9fc9868-67f7-4174-bd04-76a953fd46e8
Hani turkcell heryerde çekiyordu,olumsuz,1993d92b-8d58-4913-b16d-79ac6354a198
Acaba benim hattım neden kendi üstümde deyil bu turkcell in kazıklarından bıktım amk baba duy sesimi,olumsuz,80424e0d-78be-4226-bc15-7795845e1ffe
En kazık operatör Turkcell'dir aksini idda eden olmasın,olumsuz,04c8efe5-4142-4605-9c46-6bf41535604a
turkcell kadar şerrefsiz bi operatör daha yok,olumsuz,9be70966-7e99-48c4-aa8e-a6553c4c7a52
Çiftehan da turkcell neden çok az cekiyor,olumsuz,a47aa895-2e72-4074-a846-21ddc2f8dae1
Turkcell kadar mal bi operatör yok aq,olumsuz,d5c5d9d4-7780-428a-96ce-b1f67902bdf6
Numaramı değiştiriyorum yeter. Turkcell amk.,olumsuz,4e822a6d-474f-46d4-97fc-683736669390
